,Token,Reading,Dict. form,POS,Line,Song ID,Pitch accent
358,が,ガ,が,"('接続詞', '*', '*', '*', '*', '*')",7,12,0
359,ポロリ,ポロリ,ポロリ,"('副詞', '*', '*', '*', '*', '*')",7,12,"2,3"
360,と,ト,と,"('助詞', '格助詞', '*', '*', '*', '*')",7,12,"0"
361,こぼれ,コボレ,こぼれ,"('名詞', '普通名詞', '一般', '*', '*', '*')",7,12,3
362,たら,タラ,たら,"('接続詞', '*', '*', '*', '*', '*')",7,12,1
363,歌いだす,ウタイダス,歌いだす,"('動詞', '一般', '*', '*', '五段-サ行', '終止形-一般')",8,12,
364,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",8,12,
365,さ,サ,さ,"('助詞', '終助詞', '*', '*', '*', '*')",8,12,
366,舟唄,フナウタ,舟唄,"('名詞', '普通名詞', '一般', '*', '*', '*')",8,12,2
367,を,ヲ,を,"('助詞', '格助詞', '*', '*', '*', '*')",8,12,0
368,沖,オキ,沖,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,12,0
369,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",9,12,1
370,鴎,カモメ,鴎,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,12,0
371,に,ニ,に,"('助詞', '格助詞', '*', '*', '*', '*')",9,12,1
372,深酒,フカザケ,深酒,"('名詞', '普通名詞', '一般', '*', '*', '*')",9,12,0
373,さ,サ,さ,"('助詞', '終助詞', '*', '*', '*', '*')",9,12,1
374,せ,セ,せる,"('助動詞', '*', '*', '*', '下一段-サ行', '連用形-一般')",9,12,1
375,て,テ,て,"('接続詞', '*', '*', '*', '*', '*')",9,12,1
376,ヨ,ヨ,ヨ,"('助詞', '終助詞', '*', '*', '*', '*')",9,12,0
377,いとし,イトシ,いとしい,"('形容詞', '一般', '*', '*', '形容詞', '語幹-一般')",10,12,3
378,の,ノ,の,"('助詞', '格助詞', '*', '*', '*', '*')",10,12,0
379,あの,アノ,あの,"('連体詞', '*', '*', '*', '*', '*')",10,12,0
